Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,Institutional sector,Edition,Category,TIME_PERIOD,OBS_VALUE,Observation status
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,220.08,Normal value
Annual,JPN,Japan,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,219.837,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,39.589,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,41.69,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,47.066,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,47.593,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,46.188,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,48.896,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,25.423,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,26.282,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,28.771,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,30.574,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,33.073,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,35.513,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,37.091,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,39.89,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,41.298,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,40.634,Normal value
Annual,KOR,Korea,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,38.644,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,47.104,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,40.239,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,44.154,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,54.671,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,50.101,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,37.749,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,38.487,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,40.299,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,19.388,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,17.125,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,34.082,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,46.104,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,46.095,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,51.513,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,48.234,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,52.906,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,53.196,Normal value
Annual,LTU,Lithuania,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,50.986,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,28.763,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,29.22,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,30.847,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,32.993,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,31.162,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,29.788,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,30.889,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,31.892,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,17.205,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,24.695,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,22.501,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,27.458,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,26.794,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,27.621,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,28.173,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,29.055,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,29.136,Normal value
Annual,LUX,Luxembourg,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,27.064,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,49.137,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,48.25,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,49.082,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,57.144,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,60.504,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,54.336,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,54.485,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,58.363,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,14.003,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,24.833,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,43.338,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,54.634,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,52.79,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,50.691,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,47.49,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,52.737,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,47.809,Normal value
Annual,LVA,Latvia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,51.645,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,48.053,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,52.342,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,62.041,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,57.258,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,54.911,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,54.532,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,41.202,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,42.326,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,37.464,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,38.602,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,42.656,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,46.05,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,49.366,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,50.074,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,52.464,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,50.99,Normal value
Annual,MEX,Mexico,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,48.943,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,69.829,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,65.148,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,61.275,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,68.762,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,64.302,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,52.676,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,49.748,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,47.483,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,50.354,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,62.469,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,64.952,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,69.171,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,73.438,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,79.035,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,78.523,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,82.793,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,78.841,Normal value
Annual,NLD,Netherlands,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,76.407,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,61.297,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,55.846,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,54.462,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,48.612,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,48.97,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,34.507,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,35.646,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,36.236,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,34.49,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,39.977,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,44.236,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,45.06,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,46.37,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,52.937,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,47.741,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,41.288,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,50.155,Normal value
Annual,NOR,Norway,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,44.035,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,37.41,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,34.138,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,46.735,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,53.132,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,55.966,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,53.356,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,25.729,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,27.61,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,30.163,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,33.523,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,42.319,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,45.514,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,42.339,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,42.138,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,41.788,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,40.751,Normal value
Annual,NZL,New Zealand,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,39.468,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,108.03,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,108.81,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,128.87,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,121.8,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,109.87,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,110.47,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,72.4,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,78.62,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,90.17,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,95.83,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,100.16,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,106.28,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,107.3,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,110.47,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,110.61,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,110.9,Normal value
Annual,OECD,OECD,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,108.83,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,79.698,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,80.102,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,94.896,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,89.643,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,77.303,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,77.277,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,53.174,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,58.489,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,67.693,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,71.549,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,74.345,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,81.719,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,82.585,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,86.64,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,84.848,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,84.455,Normal value
Annual,OECD_REP,OECD average country,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,81.75,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,68.597,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,66.101,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,63.181,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,76.864,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,67.434,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,58.833,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,62.205,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,67.194,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,51.475,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,53.68,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,57.086,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,61.954,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,62.279,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,65.655,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,66.864,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,71.568,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,69.985,Normal value
Annual,POL,Poland,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,72.982,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,142.819,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,136.841,Normal value
Annual,PRT,Portugal,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,135.085,Normal value
